id,spec_type,value,unit,context,source_document,extraction_date,confidence_level
24,year,2017,,e of Engineering SIE Department 2012-2024. In the 2017-2020 he was part of a Raytheon team that led to C,,2025-11-04T13:11:53.730675,medium
25,year,2020,,Engineering SIE Department 2012-2024. In the 2017-2020 he was part of a Raytheon team that led to Co-Inv,,2025-11-04T13:11:53.730675,medium
26,year,2019,,"(RAMTDR) under US Patents 10,421,701 B2, Sept 24, 2019 and 10,703,692 B2, Jul 7, 2020 respectively (assi",,2025-11-04T13:11:53.730675,medium
27,year,2020,,"1,701 B2, Sept 24, 2019 and 10,703,692 B2, Jul 7, 2020 respectively (assigned to Raytheon Company) descr",,2025-11-04T13:11:53.730675,medium
28,year,2025,,"el (see Section D, NIKET NRE SOW) Derived through 2025 from Quantum Physics First principles, and utiliz",,2025-11-04T13:11:53.730675,medium
29,trl_level,3-4,,DOE optimization (AI/HPC/Quantum) – $110K Task 3: TRL 3-4 prototype systems engineering – $190K Task 4: TRL,,2025-11-04T13:11:53.730675,medium
30,trl_level,5-6,,3-4 prototype systems engineering – $190K Task 4: TRL 5-6 Lab integration – $110K Task 5: TRL 7 demo/LRIP m,,2025-11-04T13:11:53.730675,medium
31,trl_level,7,,K Task 4: TRL 5-6 Lab integration – $110K Task 5: TRL 7 demo/LRIP manufacturing – $130K Task 6: TRL 8-9 v,,2025-11-04T13:11:53.730675,medium
32,trl_level,8-9,,5: TRL 7 demo/LRIP manufacturing – $130K Task 6: TRL 8-9 validation and FFF packaging – $130K Business Mod,,2025-11-04T13:11:53.730675,medium
33,trl_level,9,,"e path from advanced material development through TRL 9 product integration, with commercial, government,",,2025-11-04T13:11:53.730675,medium
34,trl_level,6-9,,hases. - Establish manufacturing partnerships for TRL 6-9 scaling. 4. Licensing & IP Commercialization Mode,,2025-11-04T13:11:53.730675,medium
35,trl_level,3-4,,"k 2: AI-Optimized DOE (6,561 simulations)
Task 3: TRL 3-4 Prototyping
Task 4: Beta Manufacturing & Integrat",,2025-11-04T13:11:53.730675,medium
36,trl_level,4,,icensing model based on “Task 4+ instantiations” (TRL 4–9 readiness). Licensing structure allows exclusiv,,2025-11-04T13:11:53.730675,medium
37,trl_level,1,,"s. Non-Recurring Engineering (NRE): staged tasks (TRL 1–9), ~54 weeks cycle, ~$770K per use case instanti",,2025-11-04T13:11:53.730675,medium
38,trl_level,3-4,,8 calendar weeks/1100 Eng Hrs/$110K Task 3: AI SE TRL 3-4 Prototypes: NTE 12 calendar week/1840 Eng Hrs/$19,,2025-11-04T13:11:53.730675,medium
39,trl_level,6,,dentified/Processes and Procedures in Beta Test ; TRL 6 High Fidelity Lab integration of “x” Devices in S,,2025-11-04T13:11:53.730675,medium
40,trl_level,7,,NIKET PROPRIETARY CII NIKET TASK 5: Description: TRL 7 detailed device design; MRL 7 manufacturing proce,,2025-11-04T13:11:53.730675,medium
41,trl_level,7,,environment with clear risk register established; TRL 7 demonstration of actual devices in operational en,,2025-11-04T13:11:53.730675,medium
42,trl_level,8,,ineering Hrs/$130K CII NIKET TASK 6: Description: TRL 8 final device configuration design completed and q,,2025-11-04T13:11:53.730675,medium
43,trl_level,8,,sign and manufacturing processes are locked down; TRL 8/MRL 9 integration of device into a opertional FFF,,2025-11-04T13:11:53.730675,medium
44,trl_level,1-9,,TOTALS FOR EACH USE CASE DESIGN OPTIMIZATION NRE TRL 1-9 Schedule: Maximum 54 calendar weeks (can be accel,,2025-11-04T13:11:53.730675,medium
45,trl_level,3-4,,"optimized on HPC/Quantum computers. Task 3: AI SE TRL 3-4 Prototypes → $190K, 1900 hrs, 12 wks. 100 fabrica",,2025-11-04T13:11:53.730675,medium
46,trl_level,6,,"totypes. Task 4: Manufacturability Beta (MRL 4-5, TRL 6) → $110K, 1100 hrs, 10 wks. Integration into simu",,2025-11-04T13:11:53.730675,medium
47,trl_level,7,,"o simulated environments. Task 5: Pre-production (TRL 7, MRL 7-8) → $130K, 1300 hrs, 8 wks. Representativ",,2025-11-04T13:11:53.730675,medium
48,trl_level,8-9,,"rate initial manufacturing. Task 6: Final Device (TRL 8-9) → $130K, 1300 hrs, 8 wks. Full system integratio",,2025-11-04T13:11:53.730675,medium
49,trl_level,1-3,,levance across all 16 DHS sectors. Prototype gap: TRL 1-3 largely theoretical; few devices demonstrated. Fu,,2025-11-04T13:11:53.730675,medium
50,trl_level,4,,ed business plan. Prototype gap: Tasks 1–3 (up to TRL 4) are mostly modelling and prototype fabrication;,,2025-11-04T13:11:53.730675,medium
51,trl_level,3-4,,"optimized on HPC/Quantum computers. Task 3: AI SE TRL 3-4 Prototypes → $190K, 1900 hrs, 12 wks. 100 fabrica",,2025-11-04T13:11:53.730675,medium
52,trl_level,6,,"totypes. Task 4: Manufacturability Beta (MRL 4-5, TRL 6) → $110K, 1100 hrs, 10 wks. Integration into simu",,2025-11-04T13:11:53.730675,medium
53,trl_level,7,,"o simulated environments. Task 5: Pre-production (TRL 7, MRL 7-8) → $130K, 1300 hrs, 8 wks. Representativ",,2025-11-04T13:11:53.730675,medium
54,trl_level,8-9,,"rate initial manufacturing. Task 6: Final Device (TRL 8-9) → $130K, 1300 hrs, 8 wks. Full system integratio",,2025-11-04T13:11:53.730675,medium
55,trl_level,1-3,,levance across all 16 DHS sectors. Prototype gap: TRL 1-3 largely theoretical; few devices demonstrated. Fu,,2025-11-04T13:11:53.730675,medium
56,trl_level,4,,ed business plan. Prototype gap: Tasks 1–3 (up to TRL 4) are mostly modelling and prototype fabrication;,,2025-11-04T13:11:53.730675,medium
57,trl_level,3-4,,8 calendar weeks/1100 Eng Hrs/$110K Task 3: AI SE TRL 3-4 Prototypes: NTE 12 calendar week/1840 Eng Hrs/$19,,2025-11-04T13:11:53.730675,medium
58,trl_level,6,,dentified/Processes and Procedures in Beta Test ; TRL 6 High Fidelity Lab integration of “x” Devices in S,,2025-11-04T13:11:53.730675,medium
59,trl_level,7,,ess to UA MSE Labs CII NIKET TASK 5: Description: TRL 7 detailed device design; MRL 7 manufacturing proce,,2025-11-04T13:11:53.730675,medium
60,trl_level,7,,environment with clear risk register established; TRL 7 demonstration of actual devices in operational en,,2025-11-04T13:11:53.730675,medium
61,trl_level,8,,ineering Hrs/$130K CII NIKET TASK 6: Description: TRL 8 final device configuration design completed and q,,2025-11-04T13:11:53.730675,medium
62,trl_level,8,,sign and manufacturing processes are locked down; TRL 8/MRL 9 integration of device into a opertional FFF,,2025-11-04T13:11:53.730675,medium
63,trl_level,1-9,,TOTALS FOR EACH USE CASE DESIGN OPTIMIZATION NRE TRL 1-9 Schedule: Maximum 54 calendar weeks (can be accel,,2025-11-04T13:11:53.730675,medium
64,signal_improvement,120,dB,"r/Emitter Parameters: NEP 0.01–1 pW/Hz^0.5, SNR > 120dB, FOM > 2500, Sub-150nm resolution Applicable to 6",,2025-11-04T13:11:53.730675,medium
65,signal_improvement,140,dB,/sqr Hz Highest Signal to  Noise Ratio (SNR): 100-140 dB Peak Q-Factor: Greater than 1000 Figure of Merit,,2025-11-04T13:11:53.730675,medium
66,signal_improvement,110,dB,Range: 0.1 to 10 THz Dynamic Range : Higher than 110 dB Response Time: Less than 150 picoseconds Subwavel,,2025-11-04T13:11:53.730675,medium
67,signal_improvement,35,dB,"er noise Highest Signal to  Noise Ratio (SNR): 25-35 dB Q-Factor: 1500-15,000 Figure of Merit (FOM): 1-2",,2025-11-04T13:11:53.730675,medium
68,signal_improvement,70,dB,ization Values Targets: Power: 60 kW-1MW EIRP: 30-70 dBmi Scan Ratio: <20 sec/volume Frequency Range: 2.3,,2025-11-04T13:11:53.730675,medium
69,time_period,1,year,"gineering process totaling $770K, 7,700 Hrs over ~1 year: Task 1: Quantum modeling (DFT, CWF) – $100K Task",,2025-11-04T13:11:53.730675,medium
70,time_period,2,months,acity: 1 new instantiation project accepted every 2 months (H1 2026) Deep Analysis & Strategic Feedback Stre,,2025-11-04T13:11:53.730675,medium
71,time_period,2,months,Team Bandwidth: Limiting new projects to 1 every 2 months caps revenue potential and may deter large corpor,,2025-11-04T13:11:53.730675,medium
72,time_period,54,weeks,"rring Engineering (NRE): staged tasks (TRL 1–9), ~54 weeks cycle, ~$770K per use case instantiation. 5. Scop",,2025-11-04T13:11:53.730675,medium
73,time_period,54,weeks,"ation, test, verification, and lock-down. Totals: 54 weeks, 7,700 hrs, $770K. Investor Relevance Provides a",,2025-11-04T13:11:53.730675,medium
74,time_period,1,year,quirement: Each instantiation requires ~$770K and 1 year. Dependence on AI accuracy: DOE simulations must,,2025-11-04T13:11:53.730675,medium
75,time_period,54,weeks,"r Tasks 4–6: Total NRE per instantiation is up to 54 weeks, 7 700 engineering hours and approximately $770 K",,2025-11-04T13:11:53.730675,medium
76,time_period,54,weeks,"only emerge after Task 6. Each use case requires ~54 weeks and $770 K, so progress will depend on capital an",,2025-11-04T13:11:53.730675,medium
77,time_period,54,weeks,"ation, test, verification, and lock-down. Totals: 54 weeks, 7,700 hrs, $770K. Investor Relevance Provides a",,2025-11-04T13:11:53.730675,medium
78,time_period,1,year,quirement: Each instantiation requires ~$770K and 1 year. Dependence on AI accuracy: DOE simulations must,,2025-11-04T13:11:53.730675,medium
79,time_period,54,weeks,"r Tasks 4–6: Total NRE per instantiation is up to 54 weeks, 7 700 engineering hours and approximately $770 K",,2025-11-04T13:11:53.730675,medium
80,time_period,54,weeks,"only emerge after Task 6. Each use case requires ~54 weeks and $770 K, so progress will depend on capital an",,2025-11-04T13:11:53.730675,medium
81,time_period,8,weeks,"1: Optimized Sensor Physics Quantum Modeling (NTE 8 weeks, NTE $100K, TRL/MRL 3) Task 2: Optimized AI Desig",,2025-11-04T13:11:53.730675,medium
82,time_period,8,weeks,"Optimized AI Design of Experiments (Modeling (NTE 8 weeks, NTE $110K TRL/MRL 4). Task 3: Sensor Prototype F",,2025-11-04T13:11:53.730675,medium
83,time_period,12,weeks,"MRL 4). Task 3: Sensor Prototype Fabrication (NTE 12 weeks, NTE $190K, TRL/MRL 5/6). Task 4: Beta Testing  (",,2025-11-04T13:11:53.730675,medium
84,time_period,10,weeks,"E $190K, TRL/MRL 5/6). Task 4: Beta Testing  (NTE 10 weeks, NTE $110K, TRL/MRL 7. Task 5: Low Rate Initial P",,2025-11-04T13:11:53.730675,medium
85,time_period,8,weeks,"L/MRL 7. Task 5: Low Rate Initial Production (NTE 8 weeks, NTE $130K, TRL/MRL 8). Task 6: Device Integratio",,2025-11-04T13:11:53.730675,medium
86,time_period,8,weeks,"k 6: Device Integration/Full Rate Production (NTE 8 weeks, NTE $130K, TRL/MRL 9).
Deliverables include pate",,2025-11-04T13:11:53.730675,medium
87,temperature,12,c,"to 22 quantum-optimized materials (10 disclosed; 12 confidential), enabling: Ultra-high bondon density",,2025-11-04T13:11:53.730675,medium
88,temperature,770,K,"Model 6-Task staged engineering process totaling $770K, 7,700 Hrs over ~1 year: Task 1: Quantum modeling",,2025-11-04T13:11:53.730675,medium
89,temperature,100,K,"r ~1 year: Task 1: Quantum modeling (DFT, CWF) – $100K Task 2: DOE optimization (AI/HPC/Quantum) – $110K",,2025-11-04T13:11:53.730675,medium
90,temperature,110,K,100K Task 2: DOE optimization (AI/HPC/Quantum) – $110K Task 3: TRL 3-4 prototype systems engineering – $,,2025-11-04T13:11:53.730675,medium
91,temperature,190,K,Task 3: TRL 3-4 prototype systems engineering – $190K Task 4: TRL 5-6 Lab integration – $110K Task 5: T,,2025-11-04T13:11:53.730675,medium
92,temperature,110,K,eering – $190K Task 4: TRL 5-6 Lab integration – $110K Task 5: TRL 7 demo/LRIP manufacturing – $130K Tas,,2025-11-04T13:11:53.730675,medium
93,temperature,130,K,– $110K Task 5: TRL 7 demo/LRIP manufacturing – $130K Task 6: TRL 8-9 validation and FFF packaging – $1,,2025-11-04T13:11:53.730675,medium
94,temperature,130,K,K Task 6: TRL 8-9 validation and FFF packaging – $130K Business Model & IP Strategy Licensing: Field-of-,,2025-11-04T13:11:53.730675,medium
95,temperature,25,K,ntiation Partners Structured Gate Funding Model ($25K prepay + 3 milestone-linked payments per task) Gl,,2025-11-04T13:11:53.730675,medium
96,temperature,770,K,"ategy Total NRE Cost per use case instantiation: $770K (7,700 engineering hours). Capital will be syndic",,2025-11-04T13:11:53.730675,medium
97,temperature,770,K,"(NRE): staged tasks (TRL 1–9), ~54 weeks cycle, ~$770K per use case instantiation. 5. Scope Boundaries T",,2025-11-04T13:11:53.730675,medium
98,temperature,3,C,-SMEC) Materials Taxonomy                     p 2-3 CII NIKET SMEC Licensing Program,,2025-11-04T13:11:53.730675,medium
99,temperature,9,C,ase/DoD/Intel                                 p 4-9 CISA Information Technology & Telecommunications Se,,2025-11-04T13:11:53.730675,medium
100,temperature,17,C,ergy/Energy Utilities.                       P 15-17 CISA Critical Manufacturing/Mining & Strategic Mine,,2025-11-04T13:11:53.730675,medium
101,temperature,18,C,p 17-18 CISA Water and Wastewater Utilities,,2025-11-04T13:11:53.730675,medium
102,temperature,23,C,"f Agriculture/Food Processing                p 21-23 CISA Department of Energy Oil, Gas, Chemical Facili",,2025-11-04T13:11:53.730675,medium
103,temperature,24,C,p 23-24 CISA GSA Government and Commercial Facilities Civil,,2025-11-04T13:11:53.730675,medium
104,temperature,1,C,p 24-25 Page 1 CII NIKET PROPRIETARY CII NIKET PROPRIETARY CISA NR,,2025-11-04T13:11:53.730675,medium
105,temperature,27,C,ties                                         p 26-27 CISA Emergency Management Services,,2025-11-04T13:11:53.730675,medium
106,temperature,29,C,of Treasury/Financial Services                 p 29 CII NIKET Non Recurring Engineering Statement Of Wo,,2025-11-04T13:11:53.730675,medium
107,temperature,2,C,tary thin film/atomic layer/vapor deposition Page 2 CII NIKET PROPRIETARY CII NIKET PROPRIETARY process,,2025-11-04T13:11:53.730675,medium
108,temperature,22,C,luminum Niobium Nitrogen/Nitrides Tin Titanium 11-22        Confidential CII NIKET Q-SMEC INTELLECTUAL PROPERTY,,2025-11-04T13:11:53.730675,medium
109,temperature,3,C,efense/Defense Industrial Base urgent needs. Page 3 CII NIKET PROPRIETARY CII NIKET PROPRIETARY As Sect,,2025-11-04T13:11:53.730675,medium
110,temperature,8,c,que implementation of: Task 1: Quantum Model: NTE 8 calendar weeks/1000 Eng Hrs/ $100K Task 2: AI DOE:,,2025-11-04T13:11:53.730675,medium
111,temperature,100,K,uantum Model: NTE 8 calendar weeks/1000 Eng Hrs/ $100K Task 2: AI DOE: NTE 8 calendar weeks/1100 Eng Hrs,,2025-11-04T13:11:53.730675,medium
112,temperature,8,c,dar weeks/1000 Eng Hrs/ $100K Task 2: AI DOE: NTE 8 calendar weeks/1100 Eng Hrs/$110K Task 3: AI SE TRL,,2025-11-04T13:11:53.730675,medium
113,temperature,110,K,ask 2: AI DOE: NTE 8 calendar weeks/1100 Eng Hrs/$110K Task 3: AI SE TRL 3-4 Prototypes: NTE 12 calendar,,2025-11-04T13:11:53.730675,medium
114,temperature,12,c,g Hrs/$110K Task 3: AI SE TRL 3-4 Prototypes: NTE 12 calendar week/1840 Eng Hrs/$190K to reach Design/Me,,2025-11-04T13:11:53.730675,medium
115,temperature,190,K,-4 Prototypes: NTE 12 calendar week/1840 Eng Hrs/$190K to reach Design/Method Patentability Claims final,,2025-11-04T13:11:53.730675,medium
116,temperature,4,C,"ear, CAGR: 15% NPV 1MP License Value: $ 3.3B Page 4 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Navigat",,2025-11-04T13:11:53.730675,medium
117,temperature,5,C,"$13.8B, CAGR: 5% NPV 1 MP License Value: $2B Page 5 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Radar S",,2025-11-04T13:11:53.730675,medium
118,temperature,6,C,"ear, CAGR:  5% NPV 1 MP License Value: $300M Page 6 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Fiber O",,2025-11-04T13:11:53.730675,medium
119,temperature,7,C,Sub-Surface Vessels Unmanned Marine Vehicles Page 7 CII NIKET PROPRIETARY CII NIKET PROPRIETARY SMEC Ad,,2025-11-04T13:11:53.730675,medium
120,temperature,9,C,"Year, CAGR 13% NPV 1MP License Value: $ 422M Page 9 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Thermal",,2025-11-04T13:11:53.730675,medium
121,temperature,10,C,"ar, CAGR: 11% NPV 1 MP License Value: $ 1.7B Page 10 CII NIKET PROPRIETARY CII NIKET PROPRIETARY DEPARTM",,2025-11-04T13:11:53.730675,medium
122,temperature,11,C,"/Year, CAGR: 8% NPV 1MP License Value: $ 99M Page 11 CII NIKET PROPRIETARY CII NIKET PROPRIETARY TESLA:",,2025-11-04T13:11:53.730675,medium
123,temperature,12,C,"/Year, CAGR: 8% NPV 1MP License Value: $ 75M Page 12 CII NIKET PROPRIETARY CII NIKET PROPRIETARY MERCEDE",,2025-11-04T13:11:53.730675,medium
124,temperature,13,C,"/Year, CAGR: 6% NPV 1MP License Value: $368M Page 13 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Humidit",,2025-11-04T13:11:53.730675,medium
125,temperature,14,C,"ar, CAGR: 8.3% NPV 1MP License Value: $ 3.3B Page 14 CII NIKET PROPRIETARY CII NIKET PROPRIEATRY MARITIM",,2025-11-04T13:11:53.730675,medium
126,temperature,15,C,"Year, CAGR: 19% NPV 1MP License Value: $2.6B Page 15 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Grid Lo",,2025-11-04T13:11:53.730675,medium
127,temperature,16,C,"B/Year, CAGR: 8% NPV 1MP License Value: $ 2B Page 16 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Utility",,2025-11-04T13:11:53.730675,medium
128,temperature,5,C,trategic Mineral Detection Sensors: Very low SWaP 5 Channel Hybrid EM Solid State Sensor Node allowing,,2025-11-04T13:11:53.730675,medium
129,temperature,5,C,", as well as 3 Magnetic Fields (B and dB/dt).This 5 Channel Hybrid EM Solid State Sensor will greatly i",,2025-11-04T13:11:53.730675,medium
130,temperature,17,C,"r, CAGR: 8.7% NPV 1 MP License Value: $ 742M Page 17 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Factory",,2025-11-04T13:11:53.730675,medium
131,temperature,18,C,"1.5B/Year, CAGR: 6.3% NPV 1MP License Value: Page 18 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Chlorin",,2025-11-04T13:11:53.730675,medium
132,temperature,19,C,"1.5B/Year, CAGR: 6.4% NPV 1MP License Value: Page 19 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Pressur",,2025-11-04T13:11:53.730675,medium
133,temperature,20,C,"ear, CAGR: 13% NPV 1MP License Value: $ 530M Page 20 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Wearabl",,2025-11-04T13:11:53.730675,medium
134,temperature,256,C,se Value: $890M Carbon Sequestration: Low SWaP-C  256 Channel AI-enabled C-NPK Solid State Sensor Node us,,2025-11-04T13:11:53.730675,medium
135,temperature,21,C,"ear, CAGR: 8% NPV 1 MP License Value: $ 670M Page 21 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Food Sa",,2025-11-04T13:11:53.730675,medium
136,temperature,22,C,"3.2B/Year, CAGR: 7.9% NPV 1MP License Value: Page 22 CII NIKET PROPRIETARY CII NIKET PROPRIETARY E-Nose",,2025-11-04T13:11:53.730675,medium
137,temperature,23,C,"18M/Year, CAGR: 10.3% NPV 1MP License Value: Page 23 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Hydroge",,2025-11-04T13:11:53.730675,medium
138,temperature,24,C,"3.1B/Year, CAGR: 6.9% NPV 1MP License Value: Page 24 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Fiber O",,2025-11-04T13:11:53.730675,medium
139,temperature,25,C,"EC Addressable Market: $ 4.3B/Year, CAGR: 8% Page 25 CII NIKET PROPRIETARY CII NIKET PROPRIETARY CISA NR",,2025-11-04T13:11:53.730675,medium
140,temperature,26,C,"$ 1.2B/Year, CAGR: 7% NPV 1MP License Value: Page 26 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Water L",,2025-11-04T13:11:53.730675,medium
141,temperature,27,C,"1.7B/Year, CAGR: 9.2% NPV 1MP License Value: Page 27 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Hazardo",,2025-11-04T13:11:53.730675,medium
142,temperature,28,C,".1B/Year, CAGR: 12.8% NPV 1MP License Value: Page 28 CII NIKET PROPRIETARY CII NIKET PROPRIETARY DEPARTM",,2025-11-04T13:11:53.730675,medium
143,temperature,29,C,gy Containment (SMEC) material configuration Page 29 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Q-SMEC,,2025-11-04T13:11:53.730675,medium
144,temperature,2,K,"lowing: Gaussian, Q-Chem, ORCA, Psi4, ESPRESSO, Cp2K, ESML Arrows, MOLCAS, PySCF. Duration: 8 Calendar",,2025-11-04T13:11:53.730675,medium
145,temperature,8,C,"ESSO, Cp2K, ESML Arrows, MOLCAS, PySCF. Duration: 8 Calendar Weeks Cost: Personnel: 1000 Engineering Hr",,2025-11-04T13:11:53.730675,medium
146,temperature,100,K,ndar Weeks Cost: Personnel: 1000 Engineering Hrs/$100K CII NIKET TASK 2 Description: TRL Levels 1-2 Full,,2025-11-04T13:11:53.730675,medium
147,temperature,940,c,ptimized Run Duration Target: HPC NTE 8 minutes = 940 calendar hrs/40 calendar days AI-optimized Run Dura,,2025-11-04T13:11:53.730675,medium
148,temperature,40,c,tion Target: HPC NTE 8 minutes = 940 calendar hrs/40 calendar days AI-optimized Run Duration Target: NVI,,2025-11-04T13:11:53.730675,medium
149,temperature,470,c,Duration Target: NVIDIA GPU CUDA NTE 4 minutes = 470 calendar hrs/20 calendar days AI-optimized Run Dura,,2025-11-04T13:11:53.730675,medium
150,temperature,20,c,NVIDIA GPU CUDA NTE 4 minutes = 470 calendar hrs/20 calendar days AI-optimized Run Duration Target: Qua,,2025-11-04T13:11:53.730675,medium
151,temperature,235,c,Duration Target: Quantum Computer NTE 2 minutes = 235 calendar hrs/10 calendar days Number of Engineering,,2025-11-04T13:11:53.730675,medium
152,temperature,10,c,Quantum Computer NTE 2 minutes = 235 calendar hrs/10 calendar days Number of Engineering Analysis Hrs Re,,2025-11-04T13:11:53.730675,medium
153,temperature,110,K,"ar Weeks Cost: Personnel: 1,100 Engineering Hrs/$ 110K Intellectual Property: Results should be ready fo",,2025-11-04T13:11:53.730675,medium
154,temperature,30,C,zation for Method/Design Patent Applications Page 30 CII NIKET PROPRIETARY CII NIKET PROPRIETARY CII NIK,,2025-11-04T13:11:53.730675,medium
155,temperature,5,c,"s Fabrication Run: Equipment Access: UA MSE Labs, 5 calendar days/run Materials: supplied by NIKET Staf",,2025-11-04T13:11:53.730675,medium
156,temperature,12,C,ing Hrs: 16 Hrs/Run (Prep/Lab/Analysis) Duration; 12 Calendar Weeks Cost: Personnel: 115 Runs/1900 Engin,,2025-11-04T13:11:53.730675,medium
157,temperature,190,K,s Cost: Personnel: 115 Runs/1900 Engineering Hrs/$190K Intellectual Property: Results should be ready fo,,2025-11-04T13:11:53.730675,medium
158,temperature,10,C,"es in Simulated Operational Environment Duration: 10 Calendar Weeks Cost: Personnel: 1,100 Engineering H",,2025-11-04T13:11:53.730675,medium
159,temperature,110,K,"dar Weeks Cost: Personnel: 1,100 Engineering Hrs/$110K Equipment: Access to UA MSE Labs Page 31 CII NIKE",,2025-11-04T13:11:53.730675,medium
160,temperature,31,C,g Hrs/$110K Equipment: Access to UA MSE Labs Page 31 CII NIKET PROPRIETARY CII NIKET PROPRIETARY CII NIK,,2025-11-04T13:11:53.730675,medium
161,temperature,8,c,"ms engineering and design requirements Duration:  8 calendar weeks Cost: Personnel: 1,300 Engineering H",,2025-11-04T13:11:53.730675,medium
162,temperature,130,K,"dar weeks Cost: Personnel: 1,300 Engineering Hrs/$130K CII NIKET TASK 6: Description: TRL 8 final device",,2025-11-04T13:11:53.730675,medium
163,temperature,8,c,"and manufacturing processes locked down Duration: 8 calendar weeks Cost: Personnel:  1,300 Engineering",,2025-11-04T13:11:53.730675,medium
164,temperature,130,K,"ar weeks Cost: Personnel:  1,300 Engineering Hrs/$130K TOTALS FOR EACH USE CASE DESIGN OPTIMIZATION NRE",,2025-11-04T13:11:53.730675,medium
165,temperature,54,c,DESIGN OPTIMIZATION NRE TRL 1-9 Schedule: Maximum 54 calendar weeks (can be accelerated per budget/staff,,2025-11-04T13:11:53.730675,medium
