id,claim,advantage_type,confidence_level,supporting_data,source_document,extraction_date
11,"📌 Summary Scope Statement The Q-SMEC patent/white paper defines a platform technology spanning quantum sensor materials, fabrication processes, and multi-sector applications",,medium,,,2025-11-04T13:11:53.730675
12,"It is positioned less as a single product patent and more as a taxonomy + commercialization framework, claiming materials, methods, devices, and business model in one",,medium,,,2025-11-04T13:11:53.730675
13,"CII NIKET PROPRIETARY CRITICAL INFRASTRUCTURE INVESTMENTS, INC NIKET NORTH AMERICA LLC QUANTUM SUPERCONDUCTING MAGNETIC ENERGY CONTAINMENT (Q-SMEC) SENSOR AND ENERGY MANAGEMENT MATERIALS OPTIMIZATION WHITE PAPER Alex Dely, CII Investment Board Chair/Acting CTO Principal Inventor SMEC Sensor Materials Adely@CII-International",,medium,,,2025-11-04T13:11:53.730675
14,"P 15-17 CISA Critical Manufacturing/Mining & Strategic Minerals                                                           p 17-18 CISA Water and Wastewater Utilities                          p 18-20 Department of Health and Human Services / Health Care Facilities/Biosecurity                                 p 20-21 Department of Agriculture/Food Processing                p 21-23 CISA Department of Energy Oil, Gas, Chemical Facilities/Processing                                                        p 23-24 CISA GSA Government and Commercial Facilities Civil Engineering                                            p 24-25 Page 1 CII NIKET PROPRIETARY CII NIKET PROPRIETARY CISA NRC Nuclear Facilities                                         p 26-27 CISA Emergency Management Services                      p 27-28 Department of Treasury/Financial Services                 p 29 CII NIKET Non Recurring Engineering Statement Of Work, Schedule and Budget                                              p 29-32 ----------------------------------------------------------------------------------------- BACKGROUND: The Principal Inventor of the novel Quantum Superconducting Magnetic Energy Containment (Q-SMEC) family of Sensor Materials has deep expertise in solid state/quantum physics and materials science engineering, dating back to (under)graduate studies at University of Chicago/University of Arizona in the 1980’s, materials technology development and licensing for critical industry sectors through TTT Inc Holding Group between 1985-2008, US government contracting at the Raytheon Advanced Technology Mission Area between 2008-2024, and Adjunct Faculty status in the College of Engineering SIE Department 2012-2024",,medium,,,2025-11-04T13:11:53.730675
15,"In the 2017-2020 he was part of a Raytheon informal team that led to Co-Inventor status on a series of US Patents for  “Rotationally Anisotropic Materials with Tunable Dielectric Response” (RAMTDR) under US Patents 10,421,701 B2, Sept 24, 2019 and 10,703,692 B2, Jul 7, 2020 respectively (assigned to Raytheon Company) describing a family of tunable and reconfigurable materials",,medium,,,2025-11-04T13:11:53.730675
16,"National Security-critical Sensor and Energy Management Applications throughout the 16 DHS Critical Infrastructure Sectors require the following properties: Lowest Swap-C (Size/Weight/Power/Cost) Readily manufacturable using currently available 3D-Printing (Micro-Nano Multi-Material) and complementary thin film/atomic layer/vapor deposition Page 2 CII NIKET PROPRIETARY CII NIKET PROPRIETARY processes and equipment, in both small batch/large volume optimized design configurations Robust anti-tamper regime allowing for exportability under ITAR Robust cybersecurity regime compliance with CMMC/FedRAMP Improve by at least 1 order order of magnitude the sensor sensitivity at target        wavelength/frequency, signal/noise level, and target location/depth Improve by several orders of magnitude short/medium/long term energy storage/discharge in the materials’ quantum fields and chemical bond structures AI-designed for optimum interface with NIKET AI-SCADA protocols for Industrial Control Systems Each customized Q-SMEC sensor instantiation available for Licensing to industrial partners at Task 4+ Level (see Section D, NIKET NRE SOW) Derived through 2025 from Quantum Physics First principles, and utilizing Artificial Intelligence Augmented Full Design of Experiment (DOE) Advanced Modeling and Simulation (M&S), the CII NIKET team is maturing Sensor and Thermal Management materials architectures with customizable segmented/layered materials combining optimized configurations, oxidation states and doping levels of one/more of 22 materials: Germanium Gallium Antimony Tellurium Selenium Aluminum Niobium Nitrogen/Nitrides Tin Titanium 11-22        Confidential CII NIKET Q-SMEC INTELLECTUAL PROPERTY LICENSING PROGRAM: Section D contains an initial list of Use Cases throughout the 16 DHS Critical Infrastructure Sectors, with strong initial emphasis on Department of Defense/Defense Industrial Base urgent needs",,medium,,,2025-11-04T13:11:53.730675
17,"Page 3 CII NIKET PROPRIETARY CII NIKET PROPRIETARY As Section E Q-SMEC Statement of Work Non Recurring Engineering Tasks 1-6 indicates, each Sensor/Thermal Instantiation requires a unique implementation of: Task 1: Quantum Model: NTE 8 calendar weeks/1000 Eng Hrs/ $100K Task 2: AI DOE: NTE 8 calendar weeks/1100 Eng Hrs/$110K Task 3: AI SE TRL 3-4 Prototypes: NTE 12 calendar week/1840 Eng Hrs/$190K to reach Design/Method Patentability Claims finalization and associated Trade Secrets",,medium,,,2025-11-04T13:11:53.730675
18,3B Page 4 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Navigation & Guidance Inertial Measurement Units (IMUs) Global Navigation Satellite Systems (GNSS) Attitude and Heading Reference Systems (AHRS) SMEC Addressable Market: $18,,medium,,,2025-11-04T13:11:53.730675
19,"8B, CAGR: 5% NPV 1 MP License Value: $2B Page 5 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Radar Sensors Airborne Radar Ground-Based Radar Lidar SMEC Addressable Market: $12B/Year, CAGR: 5% NPV 1MP License Value: $1",,medium,,,2025-11-04T13:11:53.730675
20,"1B/Year, CAGR:  5% NPV 1 MP License Value: $300M Page 6 CII NIKET PROPRIETARY CII NIKET PROPRIETARY Fiber Optic Sensors Strain Sensors Temperature Sensors SMEC Addressable Market: $1",,medium,,,2025-11-04T13:11:53.730675
